仮説,執行,最良パラメータ,train_SR,test_SR,test_年率%,test_p値,系列test_SR中央値,系列test_SR>0率,損益分岐bps,回転/本
H3 短期リバーサル(横断),taker,"{""lookback"": 3, ""top_n"": 5, ""hold"": 6}",0.06,0.37,20.0,0.335,-0.38,0.42,12.9,0.289
H4 モメンタム(横断),taker,"{""lookback"": 18, ""top_n"": 5, ""hold"": 12}",-0.13,-1.95,-106.8,0.971,-1.9,0.0,-28.59,0.126
H5 BTCリードラグ(横断),taker,"{""lookback"": 3, ""top_n"": 5, ""hold"": 12}",-0.21,0.94,46.4,0.205,-0.97,0.27,24.57,0.146
H6 レンジ圧縮ブレイク(方向),taker,"{""channel"": 24, ""hold"": 6}",1.56,-0.23,-17.2,0.636,-0.92,0.04,7.79,0.416
対照 ランダム,taker,"{""lookback"": 6, ""top_n"": 5, ""hold"": 12}",-0.52,-1.27,-37.8,0.91,-2.82,0.1,-1.31,0.155
H3 短期リバーサル(横断),half-maker,"{""lookback"": 3, ""top_n"": 5, ""hold"": 6}",0.49,0.85,46.1,0.187,0.29,0.62,12.9,0.289
H4 モメンタム(横断),half-maker,"{""lookback"": 42, ""top_n"": 5, ""hold"": 3}",0.09,-0.53,-30.8,0.728,-1.69,0.0,-1.31,0.197
H5 BTCリードラグ(横断),half-maker,"{""lookback"": 2, ""top_n"": 3, ""hold"": 6}",0.12,0.05,3.5,0.455,-0.07,0.47,6.13,0.301
H6 レンジ圧縮ブレイク(方向),half-maker,"{""channel"": 24, ""hold"": 6}",1.76,0.26,20.0,0.427,-0.53,0.18,7.79,0.416
対照 ランダム,half-maker,"{""lookback"": 6, ""top_n"": 5, ""hold"": 6}",0.09,-1.37,-41.6,0.898,-1.51,0.15,-0.52,0.31
H3 短期リバーサル(横断),maker-only(理論上限),"{""lookback"": 3, ""top_n"": 3, ""hold"": 1}",1.44,2.66,235.9,0.005,0.86,0.92,11.11,1.121
H4 モメンタム(横断),maker-only(理論上限),"{""lookback"": 42, ""top_n"": 5, ""hold"": 3}",0.4,-0.21,-12.1,0.607,-1.43,0.07,-1.31,0.197
H5 BTCリードラグ(横断),maker-only(理論上限),"{""lookback"": 3, ""top_n"": 3, ""hold"": 1}",1.18,2.41,210.6,0.01,0.79,0.8,10.05,1.125
H6 レンジ圧縮ブレイク(方向),maker-only(理論上限),"{""channel"": 24, ""hold"": 6}",1.96,0.75,57.3,0.242,-0.13,0.4,7.79,0.416
対照 ランダム,maker-only(理論上限),"{""lookback"": 6, ""top_n"": 5, ""hold"": 6}",0.94,-0.45,-13.7,0.659,-0.39,0.35,-0.52,0.31
