family,gross_bps,cost_bps,net_bps,breakeven_bps,gross_SR
H1 FRキャリー(横断),-0.335,0.792,-1.25,-3.812,-0.789
H2 FR順張り(横断),0.322,0.786,-0.34,3.331,0.675
H3 短期リバーサル(横断),2.035,2.883,-2.094,3.336,3.109
H4 モメンタム(横断),-3.223,1.328,-4.167,-22.858,-4.08
H5 BTCリードラグ(横断),1.571,2.849,-2.461,2.922,2.422
H6 レンジ圧縮ブレイク(方向),0.456,1.382,-1.147,2.378,0.662
対照 ランダム,0.023,2.89,-2.853,0.055,0.072
